epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.13448,1.31656,5.27397,1.31185,0,0,0,0,0,0,0,1.28e-06,1.28e-06,1.28e-06
2,4.1146,1.43513,5.33674,1.27687,0,0,0,0,0,0,0,3.76397e-06,3.76397e-06,3.76397e-06
3,6.04744,1.3905,5.19037,1.37746,0,0,0,0,0,0,0,6.14656e-06,6.14656e-06,6.14656e-06
4,8.00364,1.2769,5.1399,1.3207,0,0,0,0,0,0,0,8.42778e-06,8.42778e-06,8.42778e-06
5,9.92849,1.39073,5.17761,1.39595,0,0,0,0,0,0,0,1.06076e-05,1.06076e-05,1.06076e-05
6,12.2416,1.19411,5.34336,1.263,0,0,0,0,0,0,0,1.26861e-05,1.26861e-05,1.26861e-05
7,14.2989,1.23678,5.0256,1.36286,0,0,0,0,0,0,0,1.46632e-05,1.46632e-05,1.46632e-05
8,16.5239,1.33923,5.38739,1.25618,0,0,0,0,0,0,0,1.65389e-05,1.65389e-05,1.65389e-05
9,18.5598,1.13403,5.14267,1.2396,0,0,0,0,0,0,0,1.83132e-05,1.83132e-05,1.83132e-05
10,20.5048,1.27382,5.16005,1.3196,0,0,0,0,0,0,0,1.99862e-05,1.99862e-05,1.99862e-05
11,22.3708,1.09021,4.9715,1.25393,0,0,0,0,0,0,0,2.15578e-05,2.15578e-05,2.15578e-05
12,24.2411,1.21851,4.97261,1.30927,0,0,0,0,0,0,0,2.3028e-05,2.3028e-05,2.3028e-05
13,26.1006,1.07879,5.06302,1.17623,0,0,0,0,0,0,0,2.43968e-05,2.43968e-05,2.43968e-05
14,28.0779,1.3778,5.31667,1.30419,0,0,0,0,0,0,0,2.56643e-05,2.56643e-05,2.56643e-05
