epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,29.9359,1.33357,5.35016,1.29289,0,0,0,0,0,0,0,2.68303e-05,2.68303e-05,2.68303e-05
16,31.7598,1.24659,5.09467,1.27887,0,0,0,0,0,0,0,2.7895e-05,2.7895e-05,2.7895e-05
17,33.6803,1.13655,5.04508,1.25487,0,0,0,0,0,0,0,2.88584e-05,2.88584e-05,2.88584e-05
18,35.5593,1.12633,4.87334,1.20167,0,0,0,0,0,0,0,2.97203e-05,2.97203e-05,2.97203e-05
19,37.5492,1.00798,4.98395,1.21884,0,0,0,0,0,0,0,3.04809e-05,3.04809e-05,3.04809e-05
20,39.4827,1.22291,5.05453,1.24429,0,0,0,0,0,0,0,3.11401e-05,3.11401e-05,3.11401e-05
21,41.4582,1.18653,5.10144,1.21472,0,0,0,0,0,0,0,3.16979e-05,3.16979e-05,3.16979e-05
22,43.5729,1.15766,4.94093,1.25476,0,0,0,0,0,0,0,3.21544e-05,3.21544e-05,3.21544e-05
23,45.4007,1.35197,5.23309,1.36762,0,0,0,0,0,0,0,3.25094e-05,3.25094e-05,3.25094e-05
24,47.2944,0.81039,4.97811,1.06311,0,0,0,0,0,0,0,3.27631e-05,3.27631e-05,3.27631e-05
25,49.3983,1.21267,5.22195,1.19596,0,0,0,0,0,0,0,3.29155e-05,3.29155e-05,3.29155e-05
26,51.2768,1.10245,4.95096,1.1438,0,0,0,0,0,0,0,3.29664e-05,3.29664e-05,3.29664e-05
27,53.1371,1.11136,5.16382,1.15301,0,0,0,0,0,0,0,3.2916e-05,3.2916e-05,3.2916e-05
28,55.0495,1.30958,5.30182,1.23898,0,0,0,0,0,0,0,3.27642e-05,3.27642e-05,3.27642e-05
29,56.9421,1.25557,5.02948,1.20746,0,0,0,0,0,0,0,3.2511e-05,3.2511e-05,3.2511e-05
30,59.0172,0.96917,4.99119,1.08098,0,0,0,0,0,0,0,3.21564e-05,3.21564e-05,3.21564e-05
31,60.9247,1.27926,5.20828,1.24358,0,0,0,0,0,0,0,3.17005e-05,3.17005e-05,3.17005e-05
32,62.7612,1.121,5.15878,1.12353,0,0,0,0,0,0,0,3.11432e-05,3.11432e-05,3.11432e-05
33,64.6689,1.09677,4.89715,1.19709,0,0,0,0,0,0,0,3.04845e-05,3.04845e-05,3.04845e-05
34,66.5039,1.07637,5.06708,1.19185,0,0,0,0,0,0,0,2.97244e-05,2.97244e-05,2.97244e-05
35,68.4201,1.08834,5.18957,1.15627,0,0,0,0,0,0,0,2.8863e-05,2.8863e-05,2.8863e-05
36,70.5032,1.22886,5.06749,1.23128,0,0,0,0,0,0,0,2.79002e-05,2.79002e-05,2.79002e-05
37,72.5141,1.15917,4.94297,1.21988,0,0,0,0,0,0,0,2.6836e-05,2.6836e-05,2.6836e-05
38,74.5459,1.31141,5.31614,1.22391,0,0,0,0,0,0,0,2.56704e-05,2.56704e-05,2.56704e-05
39,76.4939,1.17114,5.15869,1.20784,0,0,0,0,0,0,0,2.44035e-05,2.44035e-05,2.44035e-05
40,78.4157,1.09858,5.02287,1.11233,0,0,0,0,0,0,0,2.30351e-05,2.30351e-05,2.30351e-05
41,80.3208,0.97233,5.03869,1.03164,0,0,0,0,0,0,0,2.15654e-05,2.15654e-05,2.15654e-05
42,82.1783,1.09637,5.0525,1.12745,0,0,0,0,0,0,0,1.99944e-05,1.99944e-05,1.99944e-05
43,84.0632,1.1331,5.12005,1.05546,0,0,0,0,0,0,0,1.83219e-05,1.83219e-05,1.83219e-05
44,85.9817,1.06211,4.82436,1.15619,0,0,0,0,0,0,0,1.65481e-05,1.65481e-05,1.65481e-05
45,87.8126,0.93501,4.90548,1.05282,0,0,0,0,0,0,0,1.46729e-05,1.46729e-05,1.46729e-05
46,89.6714,1.06941,4.85286,1.10411,0,0,0,0,0,0,0,1.26963e-05,1.26963e-05,1.26963e-05
47,91.6662,1.13243,4.8879,1.1254,0,0,0,0,0,0,0,1.06184e-05,1.06184e-05,1.06184e-05
48,93.4815,1.09243,4.81989,1.15395,0,0,0,0,0,0,0,8.43904e-06,8.43904e-06,8.43904e-06
49,95.3164,1.30143,4.85194,1.22982,0,0,0,0,0,0,0,6.15834e-06,6.15834e-06,6.15834e-06
50,100.714,0.95996,4.99264,1.056,0,0,0,0,1.67019,5.07833,1.48672,3.77626e-06,3.77626e-06,3.77626e-06
