epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26453,1.2764,5.15788,1.32501,0,0,0,0,0,0,0,2.56e-06,2.56e-06,2.56e-06
2,3.99406,1.37447,5.24566,1.29428,0,0,0,0,0,0,0,5.344e-06,5.344e-06,5.344e-06
3,5.53658,1.33466,5.23182,1.34122,0,0,0,0,0,0,0,6.8608e-06,6.8608e-06,6.8608e-06
4,7.19991,1.27885,5.15656,1.32301,0,0,0,0,0,0,0,7.1104e-06,7.1104e-06,7.1104e-06
5,8.68375,1.44752,5.19702,1.44246,0,0,0,0,0,0,0,6.0928e-06,6.0928e-06,6.0928e-06
6,13.8632,1.30618,5.25415,1.34253,0,0,0,0,1.7392,5.24134,1.54148,3.808e-06,3.808e-06,3.808e-06
