epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92716,0,19.8837,0,0,0,0,0,0,0,0,1.28e-06,1.28e-06,1.28e-06
2,3.7891,0,19.8668,0,0,0,0,0,0,0,0,3.76397e-06,3.76397e-06,3.76397e-06
3,5.55731,0,19.861,0,0,0,0,0,0,0,0,6.14656e-06,6.14656e-06,6.14656e-06
4,7.32683,0,19.8498,0,0,0,0,0,0,0,0,8.42778e-06,8.42778e-06,8.42778e-06
5,9.20482,0,19.8459,0,0,0,0,0,0,0,0,1.06076e-05,1.06076e-05,1.06076e-05
6,10.9877,0,19.838,0,0,0,0,0,0,0,0,1.26861e-05,1.26861e-05,1.26861e-05
7,12.7748,0,19.8393,0,0,0,0,0,0,0,0,1.46632e-05,1.46632e-05,1.46632e-05
8,14.855,0,19.8235,0,0,0,0,0,0,0,0,1.65389e-05,1.65389e-05,1.65389e-05
9,16.6053,0,19.8052,0,0,0,0,0,0,0,0,1.83132e-05,1.83132e-05,1.83132e-05
10,18.4191,0,19.8083,0,0,0,0,0,0,0,0,1.99862e-05,1.99862e-05,1.99862e-05
11,20.2039,0,19.7872,0,0,0,0,0,0,0,0,2.15578e-05,2.15578e-05,2.15578e-05
12,22.0072,0,19.7878,0,0,0,0,0,0,0,0,2.3028e-05,2.3028e-05,2.3028e-05
13,23.7595,0,19.7733,0,0,0,0,0,0,0,0,2.43968e-05,2.43968e-05,2.43968e-05
14,25.6099,0,19.7759,0,0,0,0,0,0,0,0,2.56643e-05,2.56643e-05,2.56643e-05
15,27.3678,0,19.7703,0,0,0,0,0,0,0,0,2.68303e-05,2.68303e-05,2.68303e-05
16,29.156,0,19.7498,0,0,0,0,0,0,0,0,2.7895e-05,2.7895e-05,2.7895e-05
17,31.0881,0,19.7561,0,0,0,0,0,0,0,0,2.88584e-05,2.88584e-05,2.88584e-05
18,32.9756,0,19.7474,0,0,0,0,0,0,0,0,2.97203e-05,2.97203e-05,2.97203e-05
19,34.7465,0,19.7282,0,0,0,0,0,0,0,0,3.04809e-05,3.04809e-05,3.04809e-05
20,36.7963,0,19.7336,0,0,0,0,0,0,0,0,3.11401e-05,3.11401e-05,3.11401e-05
21,38.8492,0,19.7286,0,0,0,0,0,0,0,0,3.16979e-05,3.16979e-05,3.16979e-05
22,40.6596,0,19.7048,0,0,0,0,0,0,0,0,3.21544e-05,3.21544e-05,3.21544e-05
23,42.5066,0,19.7016,0,0,0,0,0,0,0,0,3.25094e-05,3.25094e-05,3.25094e-05
24,44.3135,0,19.6955,0,0,0,0,0,0,0,0,3.27631e-05,3.27631e-05,3.27631e-05
25,46.2367,0,19.6986,0,0,0,0,0,0,0,0,3.29155e-05,3.29155e-05,3.29155e-05
26,48.1782,0,19.6664,0,0,0,0,0,0,0,0,3.29664e-05,3.29664e-05,3.29664e-05
27,49.9349,0,19.6715,0,0,0,0,0,0,0,0,3.2916e-05,3.2916e-05,3.2916e-05
28,51.7212,0,19.6744,0,0,0,0,0,0,0,0,3.27642e-05,3.27642e-05,3.27642e-05
29,53.6006,0,19.6697,0,0,0,0,0,0,0,0,3.2511e-05,3.2511e-05,3.2511e-05
30,55.427,0,19.6759,0,0,0,0,0,0,0,0,3.21564e-05,3.21564e-05,3.21564e-05
31,57.253,0,19.6422,0,0,0,0,0,0,0,0,3.17005e-05,3.17005e-05,3.17005e-05
32,59.0415,0,19.6432,0,0,0,0,0,0,0,0,3.11432e-05,3.11432e-05,3.11432e-05
33,60.7938,0,19.644,0,0,0,0,0,0,0,0,3.04845e-05,3.04845e-05,3.04845e-05
34,62.6978,0,19.6481,0,0,0,0,0,0,0,0,2.97244e-05,2.97244e-05,2.97244e-05
35,64.5042,0,19.643,0,0,0,0,0,0,0,0,2.8863e-05,2.8863e-05,2.8863e-05
36,66.353,0,19.6508,0,0,0,0,0,0,0,0,2.79002e-05,2.79002e-05,2.79002e-05
37,68.1834,0,19.6225,0,0,0,0,0,0,0,0,2.6836e-05,2.6836e-05,2.6836e-05
38,70.0196,0,19.6197,0,0,0,0,0,0,0,0,2.56704e-05,2.56704e-05,2.56704e-05
39,71.8478,0,19.614,0,0,0,0,0,0,0,0,2.44035e-05,2.44035e-05,2.44035e-05
40,73.721,0,19.6214,0,0,0,0,0,0,0,0,2.30351e-05,2.30351e-05,2.30351e-05
41,75.4646,0,19.6239,0,0,0,0,0,0,0,0,2.15654e-05,2.15654e-05,2.15654e-05
42,77.2059,0,19.6411,0,0,0,0,0,0,0,0,1.99944e-05,1.99944e-05,1.99944e-05
43,79.2943,0,19.6396,0,0,0,0,0,0,0,0,1.83219e-05,1.83219e-05,1.83219e-05
44,80.9779,0,19.617,0,0,0,0,0,0,0,0,1.65481e-05,1.65481e-05,1.65481e-05
45,82.7246,0,19.6169,0,0,0,0,0,0,0,0,1.46729e-05,1.46729e-05,1.46729e-05
46,84.5045,0,19.6254,0,0,0,0,0,0,0,0,1.26963e-05,1.26963e-05,1.26963e-05
47,86.2582,0,19.6244,0,0,0,0,0,0,0,0,1.06184e-05,1.06184e-05,1.06184e-05
48,87.9387,0,19.611,0,0,0,0,0,0,0,0,8.43904e-06,8.43904e-06,8.43904e-06
49,89.7541,0,19.5972,0,0,0,0,0,0,0,0,6.15834e-06,6.15834e-06,6.15834e-06
